iter	Logloss
0	0.6876455454
1	0.6832184099
2	0.6783567249
3	0.6737917387
4	0.6679634029
5	0.661963308
6	0.6560824794
7	0.6513577975
8	0.6457273043
9	0.6422512348
10	0.637513772
11	0.6344183245
12	0.6296423888
13	0.6251611954
14	0.6207245395
15	0.6153732691
16	0.6125031822
17	0.6098295032
18	0.6052190667
19	0.6010311811
20	0.5953911023
21	0.5913291344
22	0.5871592465
23	0.5830760206
24	0.5808350001
25	0.5778280405
26	0.573592618
27	0.5700637948
28	0.5662961781
29	0.5631722344
30	0.5609096951
31	0.5568297297
32	0.5549863506
33	0.5523186708
34	0.5497158735
35	0.5463602115
36	0.5436806638
37	0.5420489189
38	0.5404522562
39	0.5388900235
40	0.5357763176
41	0.5342859774
42	0.5317491059
43	0.5291378315
44	0.5277503576
45	0.5260573167
46	0.5233434041
47	0.5200161078
48	0.5182837462
49	0.515359797
50	0.5140583658
51	0.5112844614
52	0.5085453783
53	0.5062315851
54	0.5036983979
55	0.5026443351
56	0.5006278274
57	0.4989586203
58	0.497532543
59	0.4950189835
60	0.4936939794
61	0.4927823971
62	0.4905083485
63	0.4888415214
64	0.4864897117
65	0.4856640416
66	0.4843143235
67	0.4834794917
68	0.4819866083
69	0.4812339065
70	0.479351598
71	0.4779543754
72	0.4759202289
73	0.4746158306
74	0.4727845151
75	0.4706766503
76	0.4684058621
77	0.4664978614
78	0.4649624947
79	0.4643786504
80	0.4623804989
81	0.4612459688
82	0.4592872033
83	0.4571810339
84	0.4565864628
85	0.4545396332
86	0.4530082116
87	0.4511568118
88	0.4506903754
89	0.4497950953
90	0.448032477
91	0.4465511355
92	0.4452126332
93	0.4447996677
94	0.4440048087
95	0.4432576497
96	0.4422167917
97	0.440727723
98	0.4391970838
99	0.4382987063
100	0.4379429613
101	0.4362265432
102	0.4353372949
103	0.4341227214
104	0.4328357012
105	0.4320753701
106	0.4305869208
107	0.4294865274
108	0.4287432157
109	0.4275397276
110	0.4259434887
111	0.424897251
112	0.4232947195
113	0.4220941658
114	0.4217291286
115	0.4207175817
116	0.4196793646
117	0.4188475324
118	0.4180055276
119	0.4168520218
120	0.4157863519
121	0.4145769625
122	0.4142260103
