iter	Passed	Remaining
0	3	1586
1	3	975
2	4	735
3	5	641
4	6	651
5	7	614
6	26	1847
7	40	2491
8	42	2293
9	43	2146
10	45	2002
11	47	1938
12	48	1832
13	49	1726
14	50	1628
15	51	1548
16	51	1466
17	52	1395
18	54	1371
19	55	1325
20	56	1278
21	56	1235
22	57	1195
23	58	1161
24	59	1121
25	59	1093
26	60	1065
27	61	1038
28	62	1016
29	63	998
30	64	979
31	65	959
32	66	934
33	66	911
34	68	913
35	70	909
36	71	893
37	71	872
38	72	852
39	72	833
40	73	820
41	73	804
42	74	796
43	75	785
44	76	769
45	76	756
46	77	748
47	78	741
48	79	730
49	80	720
50	81	720
51	82	712
52	83	703
53	84	696
54	85	688
55	85	677
56	86	670
57	86	660
58	87	651
59	87	644
60	88	637
61	88	628
62	90	624
63	90	618
64	91	613
65	92	605
66	92	598
67	93	593
68	94	587
69	94	581
70	96	584
71	97	579
72	98	576
73	99	570
74	99	565
75	100	561
76	101	557
77	102	553
78	103	549
79	103	543
80	104	540
81	105	535
82	105	532
83	106	528
84	107	525
85	108	523
86	109	520
87	110	516
88	110	511
89	112	512
90	113	510
91	114	506
92	115	503
93	115	498
94	115	494
95	116	489
96	117	486
97	117	483
98	119	482
99	120	480
100	120	475
101	121	472
102	121	469
103	122	468
104	123	465
105	124	463
106	125	460
107	127	461
108	128	460
109	129	457
110	129	455
111	130	452
112	131	450
113	132	447
114	132	444
115	133	443
116	134	441
117	135	438
118	136	436
119	137	434
120	138	433
121	139	431
122	139	427
123	140	426
124	141	425
125	142	422
126	142	419
127	143	416
128	144	414
129	144	412
130	145	410
131	146	408
132	147	406
133	147	403
134	148	401
135	149	400
136	149	396
137	150	395
138	150	392
139	151	389
140	152	388
141	153	387
142	154	385
143	156	387
144	157	386
145	158	384
146	159	382
147	159	380
148	160	378
149	161	376
150	162	375
151	163	373
152	164	372
153	164	370
154	165	368
155	165	366
156	166	364
157	167	363
158	168	361
159	169	360
160	170	359
161	172	360
162	173	358
163	174	357
164	175	355
165	175	353
166	177	353
167	178	352
168	179	350
169	180	349
170	180	348
171	181	346
172	182	344
173	183	343
174	184	342
175	185	340
176	186	340
177	187	338
178	187	337
179	188	335
180	189	334
181	190	332
182	191	331
183	192	330
184	193	328
185	194	327
186	195	326
187	196	325
188	196	323
189	197	322
190	198	321
191	199	320
192	200	318
193	200	316
194	201	315
195	202	313
196	203	312
197	203	310
198	204	309
199	205	308
200	206	307
201	207	305
202	207	303
203	208	302
204	209	301
205	209	299
206	210	298
207	211	296
208	212	295
209	213	294
210	213	292
211	214	291
212	215	290
213	216	288
214	216	287
215	217	286
216	218	284
217	219	283
218	219	282
219	220	280
220	221	279
221	222	278
222	222	276
223	223	275
224	224	274
225	225	273
226	225	271
227	226	270
228	227	269
229	228	267
230	228	266
231	229	265
232	230	263
233	231	262
234	231	261
235	232	260
236	233	258
237	233	257
238	234	256
239	235	255
240	236	254
241	237	252
242	237	251
243	238	250
244	239	249
245	240	248
246	241	247
247	241	245
248	242	244
249	243	243
250	243	241
251	244	240
252	245	239
253	246	238
254	247	237
255	247	236
256	248	235
257	249	233
258	250	232
259	250	231
260	251	230
261	252	228
262	252	227
263	253	226
264	254	225
265	255	224
266	255	223
267	256	222
268	257	221
269	258	219
270	258	218
271	259	217
272	260	216
273	260	215
274	261	213
275	262	213
276	263	212
277	264	211
278	265	210
279	265	208
280	266	207
281	267	206
282	268	205
283	268	204
284	269	203
285	270	202
286	271	201
287	272	200
288	273	199
289	273	198
290	274	197
291	275	196
292	276	195
293	277	194
294	278	193
295	278	192
296	279	191
297	280	190
298	281	189
299	281	187
300	282	186
301	283	185
302	283	184
303	284	183
304	285	182
305	286	181
306	287	180
307	287	179
308	288	178
309	288	177
310	289	176
311	290	175
312	291	174
313	292	173
314	293	172
315	294	171
316	294	170
317	295	169
318	296	168
319	297	167
320	297	166
321	298	165
322	299	164
323	300	162
324	300	161
325	301	160
326	302	159
327	302	158
328	303	157
329	304	156
330	305	155
331	305	154
332	306	153
333	307	152
334	308	151
335	308	150
336	309	149
337	310	148
338	311	147
339	312	146
340	312	145
341	313	144
342	314	143
343	315	142
344	315	141
345	316	140
346	316	139
347	317	138
348	318	137
349	318	136
350	319	135
351	319	134
352	320	133
353	321	132
354	322	131
355	323	130
356	323	129
357	324	128
358	325	127
359	326	126
360	326	125
361	327	124
362	328	123
363	329	123
364	330	122
365	330	121
366	331	120
367	332	119
368	333	118
369	333	117
370	334	116
371	334	115
372	335	114
373	336	113
374	337	112
375	338	111
376	338	110
377	339	109
378	340	108
379	341	107
380	342	106
381	342	105
382	343	104
383	344	104
384	345	103
385	345	102
386	346	101
387	347	100
388	347	99
389	348	98
390	348	97
391	349	96
392	350	95
393	351	94
394	352	93
395	352	92
396	353	91
397	354	90
398	355	89
399	356	89
400	356	88
401	357	87
402	358	86
403	359	85
404	359	84
405	360	83
406	361	82
407	362	81
408	363	80
409	364	79
410	364	78
411	365	78
412	366	77
413	366	76
414	367	75
415	368	74
416	369	73
417	370	72
418	371	71
419	371	70
420	372	69
421	373	69
422	374	68
423	374	67
424	375	66
425	376	65
426	376	64
427	377	63
428	378	62
429	379	61
430	380	60
431	380	59
432	381	59
433	382	58
434	383	57
435	384	56
436	384	55
437	385	54
438	386	53
439	387	52
440	388	51
441	388	51
442	389	50
443	390	49
444	391	48
445	391	47
446	392	46
447	393	45
448	394	44
449	395	43
450	395	43
451	396	42
452	397	41
453	398	40
454	399	39
455	399	38
456	400	37
457	401	36
458	402	35
459	403	35
460	403	34
461	404	33
462	405	32
463	406	31
464	406	30
465	407	29
466	408	28
467	409	28
468	410	27
469	411	26
470	411	25
471	412	24
472	413	23
473	414	22
474	415	21
475	415	20
476	416	20
477	417	19
478	418	18
479	419	17
480	419	16
481	420	15
482	421	14
483	422	13
484	423	13
485	423	12
486	424	11
487	425	10
488	426	9
489	426	8
490	427	7
491	428	6
492	428	6
493	431	5
494	431	4
495	432	3
496	433	2
497	433	1
498	434	0
499	435	0
